segment_id,path_type,laser_state,point_index,u,v,x,y,z
0,"直线","开光",0,-4.979151,-9.635932,38.051513,2.263762,7.499367
0,"直线","开光",1,-5.477544,-9.635932,37.700080,2.617171,7.499415
0,"直线","开光",2,-5.975938,-9.635932,37.348646,2.970580,7.499461
0,"直线","开光",3,-6.474332,-9.635932,36.997212,3.323988,7.499505
0,"直线","开光",4,-6.972726,-9.635932,36.623992,3.653625,7.499546
0,"直线","开光",5,-7.471119,-9.635932,36.241344,3.972974,7.499585
0,"直线","开光",6,-7.969513,-9.635932,35.858697,4.292322,7.499622
0,"直线","开光",7,-8.467907,-9.635932,35.476049,4.611671,7.499656
0,"直线","开光",8,-8.966301,-9.635932,35.092054,4.929242,7.499687
0,"直线","开光",9,-9.464694,-9.635932,34.681481,5.211786,7.499716
0,"直线","开光",10,-9.963088,-9.635932,34.270908,5.494330,7.499743
0,"直线","开光",11,-10.461482,-9.635932,33.860336,5.776874,7.499768
0,"直线","开光",12,-10.959875,-9.635932,33.449764,6.059417,7.499790
0,"直线","开光",13,-11.458269,-9.635932,33.029468,6.326324,7.499810
0,"直线","开光",14,-11.956663,-9.635932,32.594498,6.569635,7.499829
0,"直线","开光",15,-12.455057,-9.635932,32.159528,6.812946,7.499846
0,"直线","开光",16,-12.953450,-9.635932,31.724559,7.056257,7.499861
0,"直线","开光",17,-13.451844,-9.635932,31.289591,7.299567,7.499874
0,"直线","开光",18,-13.950238,-9.635932,30.839151,7.511935,7.499887
0,"直线","开光",19,-14.448632,-9.635932,30.383522,7.713923,7.499897
0,"直线","开光",20,-14.947025,-9.635932,29.927893,7.915911,7.499907
1,"直线(跳转)","关光",0,-14.947025,-9.635932,29.927893,7.915911,7.499907
1,"直线(跳转)","关光",1,-16.940600,-9.635932,28.070230,8.633482,7.499936
2,"直线","开光",0,-16.940600,-9.635932,28.070230,8.633482,7.499936
2,"直线","开光",1,-17.438994,-9.635932,27.597857,8.792412,7.499941
2,"直线","开光",2,-17.937388,-9.635932,27.125484,8.951342,7.499945
2,"直线","开光",3,-18.435781,-9.635932,26.647411,9.090312,7.499949
2,"直线","开光",4,-18.934175,-9.635932,26.162351,9.204819,7.499952
2,"直线","开光",5,-19.432569,-9.635932,25.677292,9.319326,7.499955
2,"直线","开光",6,-19.930963,-9.635932,25.192232,9.433833,7.499958
2,"直线","开光",7,-20.429356,-9.635932,24.707173,9.548340,7.499960
2,"直线","开光",8,-20.927750,-9.635932,24.215303,9.626542,7.499961
2,"直线","开光",9,-21.426144,-9.635932,23.721725,9.695642,7.499963
2,"直线","开光",10,-21.924537,-9.635932,23.228147,9.764742,7.499964
2,"直线","开光",11,-22.422931,-9.635932,22.734569,9.833842,7.499965
2,"直线","开光",12,-22.921325,-9.635932,22.240350,9.896052,7.499966
2,"直线","开光",13,-23.419719,-9.635932,21.742495,9.919152,7.499966
2,"直线","开光",14,-23.918112,-9.635932,21.244639,9.942251,7.499967
2,"直线","开光",15,-24.416506,-9.635932,20.746783,9.965351,7.499967
2,"直线","开光",16,-24.914900,-9.635932,20.248928,9.988450,7.499967
3,"直线(跳转)","关光",0,-24.914900,-9.635932,20.248928,9.988450,7.499967
3,"直线(跳转)","关光",1,-26.908475,-9.635932,18.257505,9.919152,7.499966
4,"直线","开光",0,-26.908475,-9.635932,18.257505,9.919152,7.499966
4,"直线","开光",1,-27.406868,-9.635932,17.759650,9.896052,7.499966
4,"直线","开光",2,-27.905262,-9.635932,17.265431,9.833842,7.499965
4,"直线","开光",3,-28.403656,-9.635932,16.771853,9.764742,7.499964
4,"直线","开光",4,-28.902050,-9.635932,16.278275,9.695642,7.499963
4,"直线","开光",5,-29.400443,-9.635932,15.784697,9.626542,7.499962
5,"直线(跳转)","关光",0,-29.400443,-9.635932,15.784697,9.626542,7.499962
5,"直线(跳转)","关光",1,-32.889199,-9.635932,12.402143,8.792412,7.499941
6,"直线","开光",0,-32.889199,-9.635932,12.402143,8.792412,7.499941
6,"直线","开光",1,-33.387593,-9.635932,11.929769,8.633482,7.499936
6,"直线","开光",2,-33.885987,-9.635932,11.457396,8.474552,7.499930
6,"直线","开光",3,-34.384381,-9.635932,10.985022,8.315621,7.499924
6,"直线","开光",4,-34.882774,-9.635932,10.527735,8.117900,7.499916
7,"直线(跳转)","关光",0,-34.882774,-9.635932,10.527735,8.117900,7.499916
7,"直线(跳转)","关光",1,-36.876349,-9.635932,8.710409,7.299568,7.499875
8,"直线","开光",0,-36.876349,-9.635932,8.710409,7.299568,7.499875
8,"直线","开光",1,-37.374743,-9.635932,8.275440,7.056257,7.499861
8,"直线","开光",2,-37.873137,-9.635932,7.840471,6.812946,7.499846
8,"直线","开光",3,-38.371530,-9.635932,7.405502,6.569635,7.499830
8,"直线","开光",4,-38.869924,-9.635932,6.970532,6.326324,7.499811
